,Unnamed: 0,game_id,game_date,matchup,team_id,is_home,wl,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,a_team_id,season_year,season_type,season
291,12055,21601180,2017-04-07,MIA @ TOR,TOR,t,W,49.0,31.0,0.613,240,35.0,85.0,0.412,9.0,20.0,0.45,17.0,24.0,1.0,12.0,32.0,44,14.0,10.0,4.0,15.0,24.0,96,MIA,2016,Regular Season,2016-17
295,12062,21600818,2017-02-12,DET @ TOR,TOR,t,L,32.0,23.0,0.5820000000000001,240,38.0,75.0,0.507,8.0,16.0,0.5,17.0,25.0,1.0,6.0,32.0,38,18.0,4.0,5.0,9.0,18.0,101,DET,2016,Regular Season,2016-17
297,12064,21600420,2016-12-20,BKN @ TOR,TOR,t,W,20.0,8.0,0.7140000000000001,240,42.0,91.0,0.462,8.0,18.0,0.444,24.0,31.0,1.0,12.0,36.0,48,19.0,13.0,9.0,13.0,21.0,116,BRK,2016,Regular Season,2016-17
299,12066,21600305,2016-12-05,CLE @ TOR,TOR,t,L,14.0,7.0,0.667,240,38.0,88.0,0.4320000000000001,13.0,32.0,0.406,23.0,27.0,1.0,10.0,23.0,33,22.0,8.0,5.0,7.0,22.0,112,CLE,2016,Regular Season,2016-17
301,12068,21600165,2016-11-16,GSW @ TOR,TOR,t,L,7.0,4.0,0.636,240,37.0,82.0,0.451,10.0,25.0,0.4,37.0,41.0,1.0,13.0,33.0,46,16.0,8.0,1.0,14.0,22.0,121,GSW,2016,Regular Season,2016-17
303,12070,21600007,,DET @ TOR,TOR,t,W,1.0,0.0,1.0,240,41.0,86.0,0.477,3.0,18.0,0.16699999999999998,24.0,29.0,1.0,14.0,37.0,51,17.0,8.0,0.0,11.0,22.0,109,DET,2016,Regular Season,2016-17
307,12078,41600121,2017-04-15,MIL @ TOR,TOR,t,L,0.0,1.0,0.0,240,27.0,75.0,0.36,5.0,23.0,0.217,24.0,33.0,1.0,8.0,39.0,47,15.0,3.0,4.0,10.0,21.0,83,MIL,2016,Playoffs,2016-17
308,12079,21601217,2017-04-12,DET @ ORL,ORL,t,W,29.0,53.0,0.354,240,42.0,87.0,0.483,13.0,25.0,0.52,16.0,17.0,1.0,6.0,45.0,51,27.0,7.0,6.0,11.0,22.0,113,DET,2016,Regular Season,2016-17
309,12080,21601190,2017-04-08,IND @ ORL,ORL,t,L,28.0,52.0,0.35,240,41.0,84.0,0.488,14.0,30.0,0.467,16.0,22.0,1.0,4.0,29.0,33,29.0,10.0,2.0,13.0,16.0,112,IND,2016,Regular Season,2016-17
310,12081,21601174,2017-04-06,BKN @ ORL,ORL,t,W,28.0,51.0,0.354,240,42.0,90.0,0.467,9.0,25.0,0.36,22.0,26.0,1.0,9.0,39.0,48,24.0,9.0,6.0,13.0,20.0,115,BRK,2016,Regular Season,2016-17
312,12083,21601045,2017-03-20,PHI @ ORL,ORL,t,W,26.0,45.0,0.366,265,35.0,94.0,0.3720000000000001,4.0,23.0,0.174,38.0,46.0,1.0,14.0,41.0,55,19.0,10.0,4.0,18.0,22.0,112,PHI,2016,Regular Season,2016-17
314,12085,21600977,2017-03-11,CLE @ ORL,ORL,t,L,24.0,43.0,0.358,240,38.0,96.0,0.396,4.0,21.0,0.19,24.0,28.0,1.0,14.0,38.0,52,17.0,6.0,1.0,5.0,21.0,104,CLE,2016,Regular Season,2016-17
315,12086,21600895,2017-03-01,NYK @ ORL,ORL,t,L,22.0,39.0,0.361,240,34.0,83.0,0.41,5.0,25.0,0.2,17.0,22.0,1.0,9.0,34.0,43,11.0,3.0,3.0,12.0,25.0,90,NYK,2016,Regular Season,2016-17
316,12087,21600867,2017-02-25,ATL @ ORL,ORL,t,W,22.0,38.0,0.3670000000000001,240,37.0,81.0,0.457,8.0,27.0,0.29600000000000004,23.0,24.0,1.0,7.0,40.0,47,21.0,11.0,8.0,13.0,23.0,105,ATL,2016,Regular Season,2016-17
318,12089,21600730,2017-02-01,IND @ ORL,ORL,t,L,19.0,32.0,0.373,240,31.0,77.0,0.403,6.0,24.0,0.25,20.0,28.0,1.0,7.0,28.0,35,17.0,12.0,3.0,14.0,22.0,88,IND,2016,Regular Season,2016-17
324,12097,21600081,2016-11-05,WAS @ ORL,ORL,t,W,3.0,3.0,0.5,240,31.0,78.0,0.397,9.0,28.0,0.321,17.0,27.0,1.0,10.0,33.0,43,21.0,4.0,6.0,8.0,16.0,88,WAS,2016,Regular Season,2016-17
325,12098,21600065,2016-11-03,SAC @ ORL,ORL,t,W,2.0,3.0,0.4,240,38.0,84.0,0.452,10.0,30.0,0.333,16.0,23.0,1.0,13.0,31.0,44,24.0,5.0,4.0,14.0,14.0,102,SAC,2016,Regular Season,2016-17
328,12106,21601104,2017-03-28,MIN @ IND,IND,t,L,37.0,37.0,0.5,240,40.0,81.0,0.494,5.0,18.0,0.278,29.0,35.0,1.0,11.0,26.0,37,25.0,8.0,5.0,14.0,22.0,114,MIN,2016,Regular Season,2016-17
329,12107,21601075,2017-03-24,DEN @ IND,IND,t,L,36.0,36.0,0.5,240,48.0,95.0,0.505,13.0,24.0,0.542,8.0,11.0,1.0,11.0,28.0,39,19.0,9.0,8.0,12.0,29.0,117,DEN,2016,Regular Season,2016-17
330,12108,21601005,2017-03-15,CHA @ IND,IND,t,W,35.0,33.0,0.515,240,39.0,73.0,0.534,12.0,28.0,0.429,8.0,9.0,1.0,3.0,39.0,42,26.0,8.0,6.0,14.0,15.0,98,CHO,2016,Regular Season,2016-17
332,12110,21600956,2017-03-08,DET @ IND,IND,t,W,33.0,31.0,0.516,240,44.0,88.0,0.5,11.0,23.0,0.478,16.0,19.0,1.0,9.0,37.0,46,27.0,3.0,2.0,5.0,18.0,115,DET,2016,Regular Season,2016-17
335,12113,21600857,2017-02-24,MEM @ IND,IND,t,W,30.0,28.0,0.517,240,40.0,78.0,0.513,11.0,26.0,0.423,11.0,11.0,1.0,8.0,42.0,50,23.0,8.0,7.0,16.0,19.0,102,MEM,2016,Regular Season,2016-17
336,12114,21600825,2017-02-13,SAS @ IND,IND,t,L,29.0,26.0,0.527,240,38.0,78.0,0.487,9.0,20.0,0.45,21.0,30.0,1.0,6.0,31.0,37,21.0,8.0,3.0,11.0,23.0,106,SAS,2016,Regular Season,2016-17
337,12115,21600809,2017-02-11,MIL @ IND,IND,t,L,29.0,25.0,0.537,240,35.0,73.0,0.479,10.0,22.0,0.455,20.0,24.0,1.0,8.0,28.0,36,19.0,2.0,6.0,14.0,25.0,100,MIL,2016,Regular Season,2016-17
338,12116,21600536,2017-01-05,BKN @ IND,IND,t,W,19.0,18.0,0.514,240,48.0,93.0,0.516,10.0,22.0,0.455,15.0,19.0,1.0,7.0,37.0,44,23.0,7.0,9.0,6.0,12.0,121,BRK,2016,Regular Season,2016-17
342,12120,21600361,2016-12-12,CHA @ IND,IND,t,W,13.0,12.0,0.52,240,43.0,88.0,0.489,17.0,36.0,0.472,7.0,10.0,1.0,5.0,37.0,42,24.0,4.0,11.0,11.0,21.0,110,CHO,2016,Regular Season,2016-17
343,12131,21600234,2016-11-25,BKN @ IND,IND,t,W,8.0,9.0,0.471,240,48.0,87.0,0.552,11.0,26.0,0.423,11.0,16.0,1.0,9.0,38.0,47,25.0,11.0,5.0,14.0,19.0,118,BRK,2016,Regular Season,2016-17
